locus_tag	ftype	length_bp	gene	EC_number	COG	product
DLCOOICO_00036	CDS	366	rplL		COG0222	50S ribosomal protein L7/L12
DLCOOICO_00037	CDS	4029	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
DLCOOICO_00038	CDS	1257				hypothetical protein
DLCOOICO_00039	CDS	1608	dppA		COG0747	Periplasmic dipeptide transport protein
DLCOOICO_00040	CDS	1020	dppB		COG0601	Dipeptide transport system permease protein DppB
DLCOOICO_00041	CDS	903	dppC		COG1173	Dipeptide transport system permease protein DppC
DLCOOICO_00042	CDS	984	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
DLCOOICO_00043	CDS	1005	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
DLCOOICO_00044	CDS	1203	norR			Anaerobic nitric oxide reductase transcription regulator NorR
DLCOOICO_00045	CDS	633				hypothetical protein
DLCOOICO_00046	CDS	2706	malT		COG2909	HTH-type transcriptional regulator MalT
DLCOOICO_00047	CDS	759	glpR		COG1349	Glycerol-3-phosphate regulon repressor
DLCOOICO_00048	CDS	831	glpG	3.4.21.105	COG0705	Rhomboid protease GlpG
DLCOOICO_00049	CDS	327	glpE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
DLCOOICO_00050	CDS	117				hypothetical protein
DLCOOICO_00051	CDS	291				hypothetical protein
DLCOOICO_00052	CDS	816	yiaJ		COG1414	DNA-binding transcriptional repressor YiaJ
DLCOOICO_00053	CDS	474	cooF_1		COG1142	Iron-sulfur protein
DLCOOICO_00054	CDS	1293	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
DLCOOICO_00055	CDS	2031	malS	3.2.1.1	COG0366	Periplasmic alpha-amylase
DLCOOICO_00056	CDS	825				hypothetical protein
DLCOOICO_00057	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
DLCOOICO_00058	CDS	993	pldB	3.1.1.5	COG2267	Lysophospholipase L2
DLCOOICO_00059	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
DLCOOICO_00060	CDS	900	bioP		COG0697	Biotin transporter
DLCOOICO_00061	CDS	954	metR			HTH-type transcriptional regulator MetR
DLCOOICO_00062	CDS	1110				hypothetical protein
DLCOOICO_00063	CDS	234				hypothetical protein
DLCOOICO_00064	CDS	174				hypothetical protein
DLCOOICO_00065	CDS	567				hypothetical protein
DLCOOICO_00066	CDS	714				hypothetical protein
DLCOOICO_00067	CDS	1287				hypothetical protein
DLCOOICO_00068	CDS	282				hypothetical protein
DLCOOICO_00069	CDS	591				hypothetical protein
DLCOOICO_00070	CDS	621				hypothetical protein
DLCOOICO_00071	CDS	516	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
DLCOOICO_00072	CDS	480	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
DLCOOICO_00073	CDS	810	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
DLCOOICO_00074	CDS	168	rpmG		COG0267	50S ribosomal protein L33
DLCOOICO_00075	CDS	237	rpmB		COG0227	50S ribosomal protein L28
DLCOOICO_00076	CDS	663				hypothetical protein
DLCOOICO_00077	CDS	1224	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
DLCOOICO_00078	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
DLCOOICO_00079	CDS	597	slmA			Nucleoid occlusion factor SlmA
DLCOOICO_00080	CDS	282	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
DLCOOICO_00081	CDS	849	yihP_1		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
DLCOOICO_00082	CDS	1395	yihP_2		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
DLCOOICO_00083	CDS	732	ompL			Porin OmpL
DLCOOICO_00084	CDS	558				hypothetical protein
DLCOOICO_00085	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
DLCOOICO_00086	CDS	879				hypothetical protein
DLCOOICO_00087	CDS	786				hypothetical protein
DLCOOICO_00088	CDS	2250			COG1629	putative TonB-dependent receptor
DLCOOICO_00089	CDS	1176	yncE_1		COG3391	putative protein YncE
DLCOOICO_00090	CDS	402	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
DLCOOICO_00091	CDS	471				hypothetical protein
DLCOOICO_00092	CDS	909	dmlR_1			HTH-type transcriptional regulator DmlR
DLCOOICO_00093	tRNA	95				tRNA-SeC(tca)
DLCOOICO_00094	CDS	1710				hypothetical protein
DLCOOICO_00095	CDS	1392	xanP		COG2233	Xanthine permease XanP
DLCOOICO_00096	CDS	330	trxA		COG0526	Thioredoxin 1
DLCOOICO_00097	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
DLCOOICO_00098	CDS	1176	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
DLCOOICO_00099	CDS	1047	wzzE		COG3765	ECA polysaccharide chain length modulation protein
DLCOOICO_00100	CDS	204				hypothetical protein
DLCOOICO_00101	CDS	279				hypothetical protein
DLCOOICO_00102	CDS	735				hypothetical protein
DLCOOICO_00103	CDS	315				hypothetical protein
DLCOOICO_00104	CDS	1689				hypothetical protein
DLCOOICO_00105	CDS	1050	xerC_1			Tyrosine recombinase XerC
DLCOOICO_00106	tRNA	76				tRNA-Phe(gaa)
DLCOOICO_00107	CDS	708				hypothetical protein
DLCOOICO_00108	CDS	537	ssb		COG0629	Single-stranded DNA-binding protein
DLCOOICO_00109	CDS	2823	uvrA		COG0178	UvrABC system protein A
DLCOOICO_00110	CDS	357	yjbR		COG2315	putative protein YjbR
DLCOOICO_00111	CDS	714	aphA	3.1.3.2	COG3700	Class B acid phosphatase
DLCOOICO_00112	CDS	153	tyrB	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
DLCOOICO_00113	CDS	234				hypothetical protein
DLCOOICO_00114	CDS	252				hypothetical protein
DLCOOICO_00115	CDS	318				hypothetical protein
DLCOOICO_00116	CDS	1053				hypothetical protein
DLCOOICO_00117	CDS	447				hypothetical protein
DLCOOICO_00118	CDS	423				hypothetical protein
DLCOOICO_00119	CDS	276				hypothetical protein
DLCOOICO_00120	CDS	480				hypothetical protein
DLCOOICO_00121	CDS	249				hypothetical protein
DLCOOICO_00122	CDS	5100				hypothetical protein
DLCOOICO_00123	CDS	381				hypothetical protein
DLCOOICO_00124	CDS	561				hypothetical protein
DLCOOICO_00125	CDS	405				hypothetical protein
DLCOOICO_00126	CDS	474				hypothetical protein
DLCOOICO_00127	CDS	882				hypothetical protein
DLCOOICO_00128	CDS	249				hypothetical protein
DLCOOICO_00129	CDS	396			COG1662	IS1 family transposase IS1N
DLCOOICO_00130	CDS	279				hypothetical protein
DLCOOICO_00131	CDS	603				ISKra4 family transposase ISCep1
DLCOOICO_00132	CDS	375				hypothetical protein
DLCOOICO_00133	CDS	873				hypothetical protein
DLCOOICO_00134	CDS	342				hypothetical protein
DLCOOICO_00135	CDS	1353	dnaB_1	3.6.4.12	COG0305	Replicative DNA helicase
DLCOOICO_00136	CDS	408	tdh	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
DLCOOICO_00137	CDS	687	rfaY	2.7.1.-		Lipopolysaccharide core heptose(II) kinase RfaY
DLCOOICO_00138	CDS	1035	arnC	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
DLCOOICO_00139	CDS	966				hypothetical protein
DLCOOICO_00140	CDS	1218	envC		COG4942	Murein hydrolase activator EnvC
DLCOOICO_00141	CDS	585	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
DLCOOICO_00142	rRNA	111				5S ribosomal RNA
DLCOOICO_00143	rRNA	2905				23S ribosomal RNA
DLCOOICO_00144	tRNA	76				tRNA-Glu(ttc)
DLCOOICO_00145	rRNA	1538				16S ribosomal RNA
DLCOOICO_00146	CDS	1137	yibH_1		COG1566	Inner membrane protein YibH
DLCOOICO_00147	CDS	609	yibF		COG0625	putative GST-like protein YibF
DLCOOICO_00148	CDS	1446	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
DLCOOICO_00149	CDS	237				hypothetical protein
DLCOOICO_00150	CDS	186				hypothetical protein
DLCOOICO_00151	CDS	216				hypothetical protein
DLCOOICO_00152	CDS	471				hypothetical protein
DLCOOICO_00153	CDS	1518	garD_1	4.2.1.42	COG2721	Galactarate dehydratase (L-threo-forming)
DLCOOICO_00154	CDS	900	yjhH	4.1.2.28	COG0329	putative 2-dehydro-3-deoxy-D-pentonate aldolase YjhH
DLCOOICO_00155	CDS	756	rhmR		COG1414	putative HTH-type transcriptional regulator RhmR
DLCOOICO_00156	CDS	453				hypothetical protein
DLCOOICO_00157	CDS	546				hypothetical protein
DLCOOICO_00158	CDS	1083				hypothetical protein
DLCOOICO_00159	CDS	450				hypothetical protein
DLCOOICO_00160	CDS	588				hypothetical protein
DLCOOICO_00161	CDS	1131				hypothetical protein
DLCOOICO_00162	CDS	1212				hypothetical protein
DLCOOICO_00163	CDS	360	yidC			Membrane protein insertase YidC
DLCOOICO_00164	CDS	1365	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
DLCOOICO_00165	CDS	1173	mdtL			Multidrug resistance protein MdtL
DLCOOICO_00166	CDS	960	yidZ			HTH-type transcriptional regulator YidZ
DLCOOICO_00167	CDS	753				hypothetical protein
DLCOOICO_00168	CDS	1104	sthA	1.6.1.1	COG1249	Soluble pyridine nucleotide transhydrogenase
DLCOOICO_00169	CDS	918	oxyR_1			Hydrogen peroxide-inducible genes activator
DLCOOICO_00170	CDS	1374	argH	4.3.2.1	COG0165	Argininosuccinate lyase
DLCOOICO_00171	CDS	774	argB	2.7.2.8	COG0548	Acetylglutamate kinase
DLCOOICO_00172	CDS	240	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
DLCOOICO_00173	CDS	489				hypothetical protein
DLCOOICO_00174	CDS	579				hypothetical protein
DLCOOICO_00175	CDS	288				hypothetical protein
DLCOOICO_00176	CDS	312				hypothetical protein
DLCOOICO_00177	CDS	195				hypothetical protein
DLCOOICO_00178	CDS	294				hypothetical protein
DLCOOICO_00179	CDS	513				hypothetical protein
DLCOOICO_00180	CDS	423				hypothetical protein
DLCOOICO_00181	CDS	333				hypothetical protein
DLCOOICO_00182	CDS	936	yihG	2.3.-.-	COG0204	putative acyltransferase YihG
DLCOOICO_00183	CDS	624	dsbA		COG0526	Thiol:disulfide interchange protein DsbA
DLCOOICO_00184	CDS	987	rdoA	2.7.11.1	COG2334	Serine/threonine protein kinase RdoA
DLCOOICO_00185	CDS	270	yihD		COG3084	Protein YihD
DLCOOICO_00186	CDS	585	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
DLCOOICO_00187	CDS	504	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
DLCOOICO_00188	CDS	282	araC_1			Arabinose operon regulatory protein
DLCOOICO_00189	CDS	357	frwD	2.7.1.202	COG1445	PTS system fructose-like EIIB component 3
DLCOOICO_00190	CDS	879	bssD	1.97.1.-		Benzylsuccinate synthase activating enzyme
DLCOOICO_00191	CDS	2298	cutC_1	4.3.99.4	COG1882	Choline trimethylamine-lyase
DLCOOICO_00192	CDS	321	fryB_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
DLCOOICO_00193	CDS	630	manP		COG1299	PTS system mannose-specific EIIBCA component
DLCOOICO_00194	CDS	1332	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
DLCOOICO_00195	CDS	531	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
DLCOOICO_00196	CDS	900	ftsN		COG3087	Cell division protein FtsN
DLCOOICO_00197	CDS	1026	cytR		COG1609	HTH-type transcriptional repressor CytR
DLCOOICO_00198	CDS	1476	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
DLCOOICO_00199	CDS	891	oxyR_2			Hydrogen peroxide-inducible genes activator
DLCOOICO_00200	CDS	1545	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
DLCOOICO_00201	CDS	348	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
DLCOOICO_00202	CDS	396				hypothetical protein
DLCOOICO_00203	CDS	354				hypothetical protein
DLCOOICO_00204	CDS	1362	aas	6.2.1.20		Bifunctional protein Aas
DLCOOICO_00205	CDS	582				hypothetical protein
DLCOOICO_00206	CDS	252	acpP_1		COG0236	Acyl carrier protein
DLCOOICO_00207	CDS	258				hypothetical protein
DLCOOICO_00208	CDS	816				hypothetical protein
DLCOOICO_00209	CDS	486	dnaA		COG0593	Chromosomal replication initiator protein DnaA
DLCOOICO_00210	CDS	1101	dnaN		COG0592	Beta sliding clamp
DLCOOICO_00211	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
DLCOOICO_00212	CDS	1761				hypothetical protein
DLCOOICO_00213	CDS	492				hypothetical protein
DLCOOICO_00214	CDS	225				hypothetical protein
DLCOOICO_00215	CDS	588	fdoG_1	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
DLCOOICO_00216	CDS	708				hypothetical protein
DLCOOICO_00217	CDS	684				hypothetical protein
DLCOOICO_00218	CDS	246	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
DLCOOICO_00219	CDS	420	atpC		COG0355	ATP synthase epsilon chain
DLCOOICO_00220	CDS	1371	glmU		COG1207	Bifunctional protein GlmU
DLCOOICO_00221	CDS	1830	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
DLCOOICO_00222	CDS	804	csqR		COG1349	HTH-type transcriptional repressor CsqR
DLCOOICO_00223	CDS	897	yihV	2.7.1.184		Sulfofructose kinase
DLCOOICO_00224	CDS	381				hypothetical protein
DLCOOICO_00225	CDS	201				hypothetical protein
DLCOOICO_00226	CDS	1806	kefC		COG0475	Glutathione-regulated potassium-efflux system protein KefC
DLCOOICO_00227	CDS	552	ywrO	1.6.99.-	COG2249	General stress protein 14
DLCOOICO_00228	CDS	324				hypothetical protein
DLCOOICO_00229	CDS	519				hypothetical protein
DLCOOICO_00230	CDS	138				hypothetical protein
DLCOOICO_00231	CDS	210				hypothetical protein
DLCOOICO_00232	CDS	1221	arcA_1	3.5.3.6	COG2235	Arginine deiminase
DLCOOICO_00233	CDS	933	arcC1	2.7.2.2		Carbamate kinase 1
DLCOOICO_00234	CDS	1209	wzxC		COG2244	Lipopolysaccharide biosynthesis protein WzxC
DLCOOICO_00235	CDS	594				hypothetical protein
DLCOOICO_00236	CDS	1107	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
DLCOOICO_00237	CDS	162				hypothetical protein
DLCOOICO_00238	CDS	234				hypothetical protein
DLCOOICO_00239	CDS	435				hypothetical protein
DLCOOICO_00240	CDS	780				hypothetical protein
DLCOOICO_00241	CDS	2655	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
DLCOOICO_00242	CDS	1470				hypothetical protein
DLCOOICO_00243	CDS	591	proP			Proline/betaine transporter
DLCOOICO_00244	CDS	228				hypothetical protein
DLCOOICO_00245	CDS	90				hypothetical protein
DLCOOICO_00246	CDS	1086	basS_1	2.7.13.3		Sensor protein BasS
DLCOOICO_00247	CDS	669	basR			Transcriptional regulatory protein BasR
DLCOOICO_00248	CDS	1644	eptA	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
DLCOOICO_00249	CDS	585	pstA		COG0581	Phosphate transport system permease protein PstA
DLCOOICO_00250	CDS	774	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
DLCOOICO_00251	CDS	726	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
DLCOOICO_00252	CDS	666	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
DLCOOICO_00253	CDS	300				hypothetical protein
DLCOOICO_00254	CDS	285				hypothetical protein
DLCOOICO_00255	CDS	921				hypothetical protein
DLCOOICO_00256	CDS	1101				hypothetical protein
DLCOOICO_00257	CDS	471				hypothetical protein
DLCOOICO_00258	CDS	936				hypothetical protein
DLCOOICO_00259	CDS	1266	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
DLCOOICO_00260	CDS	198				hypothetical protein
DLCOOICO_00261	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
DLCOOICO_00262	CDS	1059	ftsX		COG2177	Cell division protein FtsX
DLCOOICO_00263	CDS	318	ftsE		COG2884	Cell division ATP-binding protein FtsE
DLCOOICO_00264	CDS	603	mtlA_1		COG2213	PTS system mannitol-specific EIICBA component
DLCOOICO_00265	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
DLCOOICO_00266	CDS	591	mtlR		COG3722	Mannitol operon repressor
DLCOOICO_00267	CDS	210				hypothetical protein
DLCOOICO_00268	CDS	363	yibL			putative protein YibL
DLCOOICO_00269	CDS	402	yihU	1.1.1.373	COG2084	3-sulfolactaldehyde reductase
DLCOOICO_00270	CDS	879	yihT	4.1.2.57	COG3684	Sulfofructosephosphate aldolase
DLCOOICO_00271	CDS	1242	yihS	5.3.1.31	COG2942	Sulfoquinovose isomerase
DLCOOICO_00272	CDS	552				hypothetical protein
DLCOOICO_00273	CDS	354	rplR		COG0256	50S ribosomal protein L18
DLCOOICO_00274	CDS	534	rplF		COG0097	50S ribosomal protein L6
DLCOOICO_00275	CDS	393	rpsH		COG0096	30S ribosomal protein S8
DLCOOICO_00276	CDS	306	rpsN		COG0199	30S ribosomal protein S14
DLCOOICO_00277	CDS	540	rplE		COG0094	50S ribosomal protein L5
DLCOOICO_00278	CDS	315	rplX		COG0198	50S ribosomal protein L24
DLCOOICO_00279	CDS	372	rplN		COG0093	50S ribosomal protein L14
DLCOOICO_00280	CDS	255	rpsQ		COG0186	30S ribosomal protein S17
DLCOOICO_00281	CDS	192	rpmC		COG0255	50S ribosomal protein L29
DLCOOICO_00282	CDS	378	rplP		COG0197	50S ribosomal protein L16
DLCOOICO_00283	CDS	186				hypothetical protein
DLCOOICO_00284	CDS	285				hypothetical protein
DLCOOICO_00285	CDS	2112	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
DLCOOICO_00286	CDS	276	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
DLCOOICO_00287	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
DLCOOICO_00288	CDS	777	nikC		COG1173	Nickel transport system permease protein NikC
DLCOOICO_00289	CDS	765	nikD	7.2.2.11		Nickel import ATP-binding protein NikD
DLCOOICO_00290	CDS	807	nikE	7.2.2.11		Nickel import ATP-binding protein NikE
DLCOOICO_00291	CDS	402	nikR		COG0864	Nickel-responsive regulator
DLCOOICO_00292	CDS	1125	yhhJ		COG0842	Inner membrane transport permease YhhJ
DLCOOICO_00293	CDS	93	rbbA		COG0842	Ribosome-associated ATPase
DLCOOICO_00294	CDS	342	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
DLCOOICO_00295	CDS	486	rraA		COG0684	Regulator of ribonuclease activity A
DLCOOICO_00296	CDS	240	zapB		COG3074	Cell division protein ZapB
DLCOOICO_00297	CDS	846	glpF		COG0580	Glycerol uptake facilitator protein
DLCOOICO_00298	CDS	366				hypothetical protein
DLCOOICO_00299	CDS	552				hypothetical protein
DLCOOICO_00300	CDS	303				hypothetical protein
DLCOOICO_00301	CDS	1320	ttuB			Putative tartrate transporter
DLCOOICO_00302	CDS	930	yiaX1			putative protein YiaX1
DLCOOICO_00303	CDS	465	yhcH_1		COG2731	putative protein YhcH
DLCOOICO_00304	CDS	369	dlgD	1.1.1.130	COG2055	2,3-diketo-L-gulonate reductase
DLCOOICO_00305	CDS	315				hypothetical protein
DLCOOICO_00306	CDS	957	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
DLCOOICO_00307	CDS	741	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
DLCOOICO_00308	CDS	429				hypothetical protein
DLCOOICO_00309	CDS	735	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
DLCOOICO_00310	CDS	852	rhaS_1			HTH-type transcriptional activator RhaS
DLCOOICO_00311	CDS	1821				hypothetical protein
DLCOOICO_00312	CDS	258				hypothetical protein
DLCOOICO_00313	CDS	240				hypothetical protein
DLCOOICO_00314	CDS	948				hypothetical protein
DLCOOICO_00315	CDS	2001				hypothetical protein
DLCOOICO_00316	CDS	228				hypothetical protein
DLCOOICO_00317	CDS	750	agaC		COG3715	N-acetylgalactosamine permease IIC component 1
DLCOOICO_00318	CDS	486	levE	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
DLCOOICO_00319	CDS	426				hypothetical protein
DLCOOICO_00320	CDS	1512	dgaR			Transcriptional regulatory protein DagR
DLCOOICO_00321	CDS	219	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
DLCOOICO_00322	CDS	381	atpI		COG3312	ATP synthase protein I
DLCOOICO_00323	CDS	816	atpB		COG0356	ATP synthase subunit a
DLCOOICO_00324	CDS	240	atpE		COG0636	ATP synthase subunit c
DLCOOICO_00325	CDS	471	atpF		COG0711	ATP synthase subunit b
DLCOOICO_00326	CDS	534	atpH		COG0712	ATP synthase subunit delta
DLCOOICO_00327	CDS	273				hypothetical protein
DLCOOICO_00328	CDS	1152	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
DLCOOICO_00329	CDS	111	yshB			putative protein YshB
DLCOOICO_00330	CDS	1419	glnG		COG2204	DNA-binding transcriptional regulator NtrC
DLCOOICO_00331	CDS	801	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
DLCOOICO_00332	tRNA	77				tRNA-Arg(acg)
DLCOOICO_00333	tRNA	93				tRNA-Ser(gct)
DLCOOICO_00334	CDS	186	csrA		COG1551	Carbon storage regulator
DLCOOICO_00335	CDS	2541	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
DLCOOICO_00336	CDS	105				hypothetical protein
DLCOOICO_00337	CDS	549	tatB		COG1826	Sec-independent protein translocase protein TatB
DLCOOICO_00338	CDS	267	tatA		COG1826	Sec-independent protein translocase protein TatA
DLCOOICO_00339	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
DLCOOICO_00340	CDS	606	ubiJ_1		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
DLCOOICO_00341	CDS	1245				hypothetical protein
DLCOOICO_00342	CDS	1026				hypothetical protein
DLCOOICO_00343	CDS	288				hypothetical protein
DLCOOICO_00344	CDS	795				hypothetical protein
DLCOOICO_00345	CDS	216				hypothetical protein
DLCOOICO_00346	CDS	165				hypothetical protein
DLCOOICO_00347	CDS	390				hypothetical protein
DLCOOICO_00348	CDS	120				hypothetical protein
DLCOOICO_00349	CDS	96				hypothetical protein
DLCOOICO_00350	CDS	195				hypothetical protein
DLCOOICO_00351	CDS	336				hypothetical protein
DLCOOICO_00352	CDS	174				hypothetical protein
DLCOOICO_00353	CDS	129				hypothetical protein
DLCOOICO_00354	CDS	204				hypothetical protein
DLCOOICO_00355	CDS	144				hypothetical protein
DLCOOICO_00356	CDS	189				hypothetical protein
DLCOOICO_00357	CDS	270				hypothetical protein
DLCOOICO_00358	CDS	162				hypothetical protein
DLCOOICO_00359	CDS	348	igaA			Intracellular growth attenuator protein igaA
DLCOOICO_00360	CDS	669	yrfG	3.1.3.5	COG1011	GMP/IMP nucleotidase YrfG
DLCOOICO_00361	CDS	258	hslR		COG1188	Heat shock protein 15
DLCOOICO_00362	CDS	879	hslO		COG1281	33 kDa chaperonin
DLCOOICO_00363	CDS	294				hypothetical protein
DLCOOICO_00364	CDS	1008				hypothetical protein
DLCOOICO_00365	CDS	342	ypjF_1			Toxin YpjF
DLCOOICO_00366	CDS	342	yfjZ			Antitoxin YfjZ
DLCOOICO_00367	CDS	543				hypothetical protein
DLCOOICO_00368	CDS	444	klcA_1			Antirestriction protein KlcA
DLCOOICO_00369	CDS	186				hypothetical protein
DLCOOICO_00370	CDS	828	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
DLCOOICO_00371	CDS	1260	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
DLCOOICO_00372	CDS	594	rhaB	2.7.1.5		Rhamnulokinase
DLCOOICO_00373	CDS	705				hypothetical protein
DLCOOICO_00374	CDS	582	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
DLCOOICO_00375	CDS	432	yiaC	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YiaC
DLCOOICO_00376	CDS	681	bisC	1.-.-.-	COG0243	Biotin sulfoxide reductase
DLCOOICO_00377	CDS	114				hypothetical protein
DLCOOICO_00378	CDS	855	rob		COG2207	Right origin-binding protein
DLCOOICO_00379	CDS	255	yibH_2		COG1566	Inner membrane protein YibH
