locus_tag	ftype	length_bp	gene	EC_number	COG	product
EHACDFAM_00080	CDS	1455	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
EHACDFAM_00081	CDS	1512			COG1629	putative TonB-dependent receptor
EHACDFAM_00082	CDS	1176	yncE_1		COG3391	putative protein YncE
EHACDFAM_00083	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
EHACDFAM_00084	CDS	1149	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
EHACDFAM_00085	CDS	1008				Zinc-type alcohol dehydrogenase-like protein
EHACDFAM_00086	CDS	1089				hypothetical protein
EHACDFAM_00087	CDS	903	yicL		COG0697	putative inner membrane transporter YicL
EHACDFAM_00088	CDS	639				hypothetical protein
EHACDFAM_00089	CDS	732	yadV_1			putative fimbrial chaperone YadV
EHACDFAM_00090	CDS	267	tatA		COG1826	Sec-independent protein translocase protein TatA
EHACDFAM_00091	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
EHACDFAM_00092	CDS	606	ubiJ		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
EHACDFAM_00093	CDS	756	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
EHACDFAM_00094	CDS	963				hypothetical protein
EHACDFAM_00095	CDS	381	yhfS			putative protein YhfS
EHACDFAM_00096	CDS	171				hypothetical protein
EHACDFAM_00097	CDS	3891				hypothetical protein
EHACDFAM_00098	CDS	621	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
EHACDFAM_00099	CDS	1035	rhaT		COG0697	L-rhamnose-proton symporter
EHACDFAM_00100	CDS	849	rhaR_1			HTH-type transcriptional activator RhaR
EHACDFAM_00101	CDS	837	rhaS_1			HTH-type transcriptional activator RhaS
EHACDFAM_00102	CDS	576				hypothetical protein
EHACDFAM_00103	CDS	177				hypothetical protein
EHACDFAM_00104	CDS	456				hypothetical protein
EHACDFAM_00105	CDS	591	uhpA_1		COG2197	Transcriptional regulatory protein UhpA
EHACDFAM_00106	CDS	1002	lst	2.4.99.-		CMP-N-acetylneuraminate:beta-galactoside alpha-2,3-sialyltransferase
EHACDFAM_00107	CDS	291	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
EHACDFAM_00108	CDS	1344	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
EHACDFAM_00109	CDS	240	atpE		COG0636	ATP synthase subunit c
EHACDFAM_00110	CDS	816	atpB		COG0356	ATP synthase subunit a
EHACDFAM_00111	CDS	381	atpI		COG3312	ATP synthase protein I
EHACDFAM_00112	CDS	624	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
EHACDFAM_00113	CDS	1824	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
EHACDFAM_00114	CDS	222				hypothetical protein
EHACDFAM_00115	CDS	1335	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
EHACDFAM_00116	tRNA	77				tRNA-Met(cat)
EHACDFAM_00117	CDS	1344	argG	6.3.4.5	COG0137	Argininosuccinate synthase
EHACDFAM_00118	tRNA	87				tRNA-Leu(gag)
EHACDFAM_00119	CDS	333	secG		COG1314	Protein-export membrane protein SecG
EHACDFAM_00120	CDS	285	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
EHACDFAM_00121	CDS	267	pstC		COG0573	Phosphate transport system permease protein PstC
EHACDFAM_00122	CDS	891	pstA		COG0581	Phosphate transport system permease protein PstA
EHACDFAM_00123	CDS	774	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
EHACDFAM_00124	CDS	726	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
EHACDFAM_00125	CDS	666	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
EHACDFAM_00126	CDS	300				hypothetical protein
EHACDFAM_00127	CDS	357	yiaW_1			Inner membrane protein YiaW
EHACDFAM_00128	CDS	1137	yibH_1		COG1566	Inner membrane protein YibH
EHACDFAM_00129	CDS	855	rob		COG2207	Right origin-binding protein
EHACDFAM_00130	CDS	432				hypothetical protein
EHACDFAM_00131	CDS	210				hypothetical protein
EHACDFAM_00132	CDS	993	xylF		COG4213	D-xylose-binding periplasmic protein
EHACDFAM_00133	CDS	531	xylG_1	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
EHACDFAM_00134	CDS	1005	xylG_2	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
EHACDFAM_00135	CDS	795				hypothetical protein
EHACDFAM_00136	CDS	288				hypothetical protein
EHACDFAM_00137	CDS	1026				hypothetical protein
EHACDFAM_00138	CDS	1245				hypothetical protein
EHACDFAM_00139	CDS	249				hypothetical protein
EHACDFAM_00140	CDS	360	nanT			Sialic acid transporter NanT
EHACDFAM_00141	CDS	690	nanE2	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase 2
EHACDFAM_00142	CDS	906	nanK	2.7.1.60	COG1940	N-acetylmannosamine kinase
EHACDFAM_00143	CDS	468	yhcH_1		COG2731	putative protein YhcH
EHACDFAM_00144	CDS	1086	yhcG	3.1.-.-	COG4804	Putative nuclease YhcG
EHACDFAM_00145	CDS	447	gltD_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
EHACDFAM_00146	CDS	966	aglB	3.2.1.122	COG1486	6-phospho-alpha-glucosidase
EHACDFAM_00147	CDS	1002	rhaR_2			HTH-type transcriptional activator RhaR
EHACDFAM_00148	CDS	1737	yidK		COG4146	putative symporter YidK
EHACDFAM_00149	CDS	609				hypothetical protein
EHACDFAM_00150	CDS	192				hypothetical protein
EHACDFAM_00151	CDS	438				hypothetical protein
EHACDFAM_00152	CDS	357				hypothetical protein
EHACDFAM_00153	CDS	1500				hypothetical protein
EHACDFAM_00154	CDS	177				hypothetical protein
EHACDFAM_00155	CDS	537				hypothetical protein
EHACDFAM_00156	CDS	426				hypothetical protein
EHACDFAM_00157	CDS	471				hypothetical protein
EHACDFAM_00158	CDS	384	yiaW_2			Inner membrane protein YiaW
EHACDFAM_00159	CDS	1137	yibH_2		COG1566	Inner membrane protein YibH
EHACDFAM_00160	CDS	609	yibF		COG0625	putative GST-like protein YibF
EHACDFAM_00161	CDS	309				hypothetical protein
EHACDFAM_00162	CDS	471	tufB		COG0050	Elongation factor Tu 2
EHACDFAM_00163	CDS	195	bfd		COG2906	Bacterioferritin-associated ferredoxin
EHACDFAM_00164	CDS	477	bfr	1.16.3.1	COG2193	Bacterioferritin
EHACDFAM_00165	CDS	501				hypothetical protein
EHACDFAM_00166	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
EHACDFAM_00167	CDS	630	rplC		COG0087	50S ribosomal protein L3
EHACDFAM_00168	CDS	606	rplD		COG0088	50S ribosomal protein L4
EHACDFAM_00169	CDS	303	rplW		COG0089	50S ribosomal protein L23
EHACDFAM_00170	CDS	999				hypothetical protein
EHACDFAM_00171	CDS	333				hypothetical protein
EHACDFAM_00172	CDS	159				hypothetical protein
EHACDFAM_00173	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
EHACDFAM_00174	CDS	429	ibpB		COG0071	Small heat shock protein IbpB
EHACDFAM_00175	CDS	213				hypothetical protein
EHACDFAM_00176	CDS	690	pepE	3.4.13.21	COG3340	Peptidase E
EHACDFAM_00177	CDS	876	rluF	5.4.99.-	COG1187	Dual-specificity RNA pseudouridine synthase RluF
EHACDFAM_00178	CDS	273				hypothetical protein
EHACDFAM_00179	CDS	939	panS		COG0385	Pantothenate precursors transporter PanS
EHACDFAM_00180	CDS	579	lysC	2.7.2.4	COG0527	Lysine-sensitive aspartokinase 3
EHACDFAM_00181	CDS	333				hypothetical protein
EHACDFAM_00182	CDS	327				hypothetical protein
EHACDFAM_00183	CDS	309				hypothetical protein
EHACDFAM_00184	CDS	276	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
EHACDFAM_00185	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
EHACDFAM_00186	CDS	144				hypothetical protein
EHACDFAM_00187	CDS	420				hypothetical protein
EHACDFAM_00188	CDS	294				hypothetical protein
EHACDFAM_00189	CDS	879	hslO		COG1281	33 kDa chaperonin
EHACDFAM_00190	CDS	258	hslR		COG1188	Heat shock protein 15
EHACDFAM_00191	CDS	669	yrfG	3.1.3.5	COG1011	GMP/IMP nucleotidase YrfG
EHACDFAM_00192	CDS	483	igaA			Intracellular growth attenuator protein igaA
EHACDFAM_00193	CDS	816	nanR		COG2186	HTH-type transcriptional repressor NanR
EHACDFAM_00194	CDS	501	sspB		COG2969	Stringent starvation protein B
EHACDFAM_00195	CDS	639	sspA		COG0625	Stringent starvation protein A
EHACDFAM_00196	CDS	393	rpsI		COG0103	30S ribosomal protein S9
EHACDFAM_00197	CDS	429	rplM		COG0102	50S ribosomal protein L13
EHACDFAM_00198	CDS	210	zapE		COG1485	Cell division protein ZapE
EHACDFAM_00199	CDS	408				hypothetical protein
EHACDFAM_00200	CDS	1311	fucP		COG0738	L-fucose-proton symporter
EHACDFAM_00201	CDS	648	fucA	4.1.2.17	COG0235	L-fuculose phosphate aldolase
EHACDFAM_00202	CDS	405				hypothetical protein
EHACDFAM_00203	CDS	216				hypothetical protein
EHACDFAM_00204	CDS	354				hypothetical protein
EHACDFAM_00205	CDS	864	atpG		COG0224	ATP synthase gamma chain
EHACDFAM_00206	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
EHACDFAM_00207	CDS	534	atpH		COG0712	ATP synthase subunit delta
EHACDFAM_00208	CDS	258				hypothetical protein
EHACDFAM_00209	CDS	240				hypothetical protein
EHACDFAM_00210	CDS	948				hypothetical protein
EHACDFAM_00211	CDS	2001				hypothetical protein
EHACDFAM_00212	CDS	957	yhhJ		COG0842	Inner membrane transport permease YhhJ
EHACDFAM_00213	CDS	402	nikR		COG0864	Nickel-responsive regulator
EHACDFAM_00214	CDS	807	nikE	7.2.2.11		Nickel import ATP-binding protein NikE
EHACDFAM_00215	CDS	765	nikD	7.2.2.11		Nickel import ATP-binding protein NikD
EHACDFAM_00216	CDS	741	nikC		COG1173	Nickel transport system permease protein NikC
EHACDFAM_00217	CDS	738	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
EHACDFAM_00218	CDS	1593	yjeM			Inner membrane transporter YjeM
EHACDFAM_00219	CDS	717				hypothetical protein
EHACDFAM_00220	CDS	315	yjeO			Inner membrane protein YjeO
EHACDFAM_00221	CDS	894	argP		COG0583	HTH-type transcriptional regulator ArgP
EHACDFAM_00222	CDS	729			COG2968	26 kDa periplasmic immunogenic protein
EHACDFAM_00223	CDS	594	argO		COG1279	Arginine exporter protein ArgO
EHACDFAM_00224	CDS	858	mscS		COG0668	Small-conductance mechanosensitive channel
EHACDFAM_00225	CDS	684	rbsC_1		COG1172	Ribose import permease protein RbsC
EHACDFAM_00226	CDS	891	rbsB_1		COG1879	Ribose import binding protein RbsB
EHACDFAM_00227	CDS	930	rbsK	2.7.1.15	COG0524	Ribokinase
EHACDFAM_00228	CDS	990	rbsR		COG1609	Ribose operon repressor
EHACDFAM_00229	CDS	123	hsrA			putative transport protein HsrA
EHACDFAM_00230	CDS	1332	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
EHACDFAM_00231	CDS	615	yigZ		COG1739	IMPACT family member YigZ
EHACDFAM_00232	CDS	864	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
EHACDFAM_00233	CDS	2046	lpoA		COG3107	Penicillin-binding protein activator LpoA
EHACDFAM_00234	CDS	396				hypothetical protein
EHACDFAM_00235	CDS	186				hypothetical protein
EHACDFAM_00236	CDS	408				hypothetical protein
EHACDFAM_00237	CDS	216				hypothetical protein
EHACDFAM_00238	CDS	303				hypothetical protein
EHACDFAM_00239	CDS	321				hypothetical protein
EHACDFAM_00240	CDS	639				hypothetical protein
EHACDFAM_00241	CDS	474				hypothetical protein
EHACDFAM_00242	CDS	405				hypothetical protein
EHACDFAM_00243	CDS	561				hypothetical protein
EHACDFAM_00244	CDS	381				hypothetical protein
EHACDFAM_00245	CDS	1584	selB		COG3276	Selenocysteine-specific elongation factor
EHACDFAM_00246	CDS	1152	adhB_1	1.1.1.1		Alcohol dehydrogenase 2
EHACDFAM_00247	CDS	408				hypothetical protein
EHACDFAM_00248	CDS	483	smf-1		COG3539	Major fimbrial subunit SMF-1
EHACDFAM_00249	CDS	747	yadV_2			putative fimbrial chaperone YadV
EHACDFAM_00250	CDS	471				hypothetical protein
EHACDFAM_00251	CDS	2316	fecA		COG4772	Fe(3+) dicitrate transport protein FecA
EHACDFAM_00252	CDS	957	fecR		COG3712	Protein FecR
EHACDFAM_00253	CDS	234				hypothetical protein
EHACDFAM_00254	CDS	900	dmlR_1			HTH-type transcriptional regulator DmlR
EHACDFAM_00255	CDS	759	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
EHACDFAM_00256	CDS	315				hypothetical protein
EHACDFAM_00257	CDS	303				hypothetical protein
EHACDFAM_00258	CDS	243				hypothetical protein
EHACDFAM_00259	CDS	1650	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
EHACDFAM_00260	CDS	243				hypothetical protein
EHACDFAM_00261	CDS	537	ssb		COG0629	Single-stranded DNA-binding protein
EHACDFAM_00262	CDS	432	uspG		COG0589	Universal stress protein UP12
EHACDFAM_00263	CDS	1674	ctpF	3.6.3.-	COG0474	putative cation-transporting ATPase F
EHACDFAM_00264	CDS	162	degS	3.4.21.107	COG0265	Serine endoprotease DegS
EHACDFAM_00265	CDS	939	mdh	1.1.1.37	COG0039	Malate dehydrogenase
EHACDFAM_00266	CDS	471	argR		COG1438	Arginine repressor
EHACDFAM_00267	CDS	264	bhsA_1			Multiple stress resistance protein BhsA
EHACDFAM_00268	CDS	276	yhcO		COG2732	putative protein YhcO
EHACDFAM_00269	CDS	477		1.2.1.97		3-sulfolactaldehyde dehydrogenase
EHACDFAM_00270	CDS	1029	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
EHACDFAM_00271	CDS	963	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
EHACDFAM_00272	CDS	969	coaA	2.7.1.33	COG1072	Pantothenate kinase
EHACDFAM_00273	CDS	225				hypothetical protein
EHACDFAM_00274	tRNA	76				tRNA-Thr(tgt)
EHACDFAM_00275	CDS	1386	rep_1	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
EHACDFAM_00276	CDS	1485	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
EHACDFAM_00277	CDS	684	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
EHACDFAM_00278	CDS	891	rpiR		COG1737	HTH-type transcriptional regulator RpiR
EHACDFAM_00279	CDS	450	rpiB	5.3.1.6	COG0698	Ribose-5-phosphate isomerase B
EHACDFAM_00280	CDS	633				hypothetical protein
EHACDFAM_00281	CDS	333				hypothetical protein
EHACDFAM_00282	CDS	126	phnP	3.1.4.55	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
EHACDFAM_00283	CDS	300				hypothetical protein
EHACDFAM_00284	CDS	162				hypothetical protein
EHACDFAM_00285	CDS	270				hypothetical protein
EHACDFAM_00286	CDS	189				hypothetical protein
EHACDFAM_00287	CDS	144				hypothetical protein
EHACDFAM_00288	CDS	204				hypothetical protein
EHACDFAM_00289	CDS	129				hypothetical protein
EHACDFAM_00290	CDS	174				hypothetical protein
EHACDFAM_00291	CDS	336				hypothetical protein
EHACDFAM_00292	CDS	195				hypothetical protein
EHACDFAM_00293	CDS	96				hypothetical protein
EHACDFAM_00294	CDS	120				hypothetical protein
EHACDFAM_00295	CDS	390				hypothetical protein
EHACDFAM_00296	CDS	105				hypothetical protein
EHACDFAM_00297	CDS	654	gor	1.8.1.7	COG1249	Glutathione reductase
EHACDFAM_00298	CDS	1395				hypothetical protein
EHACDFAM_00299	CDS	528				hypothetical protein
EHACDFAM_00300	CDS	636	fabR		COG1309	HTH-type transcriptional repressor FabR
EHACDFAM_00301	CDS	1401	sthA	1.6.1.1	COG1249	Soluble pyridine nucleotide transhydrogenase
EHACDFAM_00302	CDS	918	oxyR_2			Hydrogen peroxide-inducible genes activator
EHACDFAM_00303	CDS	978				hypothetical protein
EHACDFAM_00304	CDS	309				hypothetical protein
EHACDFAM_00305	CDS	570				hypothetical protein
EHACDFAM_00306	CDS	366	rplL		COG0222	50S ribosomal protein L7/L12
EHACDFAM_00307	CDS	498	rplJ		COG0244	50S ribosomal protein L10
EHACDFAM_00308	CDS	846				hypothetical protein
EHACDFAM_00309	CDS	864	ypjD		COG4137	Inner membrane protein YpjD
EHACDFAM_00310	CDS	1242				hypothetical protein
EHACDFAM_00311	CDS	249	grpE		COG0576	Protein GrpE
EHACDFAM_00312	CDS	1710				hypothetical protein
EHACDFAM_00313	CDS	1392	xanP		COG2233	Xanthine permease XanP
EHACDFAM_00314	CDS	141	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
EHACDFAM_00315	CDS	273				hypothetical protein
EHACDFAM_00316	CDS	1545	malF		COG1175	Maltose/maltodextrin transport system permease protein MalF
EHACDFAM_00317	CDS	1191	malE		COG2182	Maltose/maltodextrin-binding periplasmic protein
EHACDFAM_00318	CDS	783	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
EHACDFAM_00319	CDS	813	mlaF	3.6.3.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
EHACDFAM_00320	CDS	978	yrbG		COG0530	Inner membrane protein YrbG
EHACDFAM_00321	CDS	579				hypothetical protein
EHACDFAM_00322	CDS	1845	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
EHACDFAM_00323	CDS	540	rplE		COG0094	50S ribosomal protein L5
EHACDFAM_00324	CDS	315	rplX		COG0198	50S ribosomal protein L24
EHACDFAM_00325	CDS	372	rplN		COG0093	50S ribosomal protein L14
EHACDFAM_00326	CDS	255	rpsQ		COG0186	30S ribosomal protein S17
EHACDFAM_00327	CDS	192	rpmC		COG0255	50S ribosomal protein L29
EHACDFAM_00328	CDS	411	rplP		COG0197	50S ribosomal protein L16
EHACDFAM_00329	CDS	702	rpsC		COG0092	30S ribosomal protein S3
EHACDFAM_00330	CDS	249	rplV		COG0091	50S ribosomal protein L22
EHACDFAM_00331	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
EHACDFAM_00332	CDS	1020				hypothetical protein
EHACDFAM_00333	CDS	882	surA	5.2.1.8	COG0760	Chaperone SurA
EHACDFAM_00334	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
EHACDFAM_00335	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
EHACDFAM_00336	CDS	378	apaG		COG2967	Protein ApaG
EHACDFAM_00337	CDS	528				hypothetical protein
EHACDFAM_00338	CDS	342				hypothetical protein
EHACDFAM_00339	CDS	834	xapA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 2
EHACDFAM_00340	CDS	1134	xapB			Xanthosine permease
EHACDFAM_00341	rRNA	111				5S ribosomal RNA
EHACDFAM_00342	rRNA	2905				23S ribosomal RNA
EHACDFAM_00343	CDS	642	yehC		COG3121	putative fimbrial chaperone YehC
EHACDFAM_00344	CDS	534	yehD			putative fimbrial-like protein YehD
EHACDFAM_00345	CDS	942				hypothetical protein
EHACDFAM_00346	CDS	1350	lamB		COG4580	Maltoporin
EHACDFAM_00347	CDS	276	malK	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
EHACDFAM_00348	CDS	504	rpoH		COG0568	RNA polymerase sigma factor RpoH
EHACDFAM_00349	CDS	198				hypothetical protein
EHACDFAM_00350	CDS	1266	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
EHACDFAM_00351	CDS	276				hypothetical protein
EHACDFAM_00352	CDS	372				hypothetical protein
EHACDFAM_00353	CDS	438				hypothetical protein
EHACDFAM_00354	CDS	174				hypothetical protein
EHACDFAM_00355	CDS	321	fryB_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
EHACDFAM_00356	CDS	1080	manP		COG1299	PTS system mannose-specific EIIBCA component
EHACDFAM_00357	CDS	591	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
EHACDFAM_00358	CDS	621	rhtC		COG1280	Threonine efflux protein
EHACDFAM_00359	CDS	873				ISNCY family transposase ISRor2
EHACDFAM_00360	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
EHACDFAM_00361	CDS	825	iclR		COG1414	Transcriptional repressor IclR
EHACDFAM_00362	CDS	171				hypothetical protein
EHACDFAM_00363	CDS	282				hypothetical protein
EHACDFAM_00364	CDS	495				hypothetical protein
EHACDFAM_00365	CDS	435				hypothetical protein
EHACDFAM_00366	CDS	1437	nrfA	1.7.2.2	COG3303	Cytochrome c-552
EHACDFAM_00367	CDS	177				hypothetical protein
EHACDFAM_00368	CDS	879				hypothetical protein
EHACDFAM_00369	CDS	786				hypothetical protein
EHACDFAM_00370	CDS	591	mexB_1		COG0841	Multidrug resistance protein MexB
EHACDFAM_00371	CDS	357	yffB		COG1393	Protein YffB
EHACDFAM_00372	CDS	1128	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
EHACDFAM_00373	CDS	201				hypothetical protein
EHACDFAM_00374	CDS	1353	wzyE			putative ECA polymerase
